Date,Map,Score,Rank,K,D,A,+/-,HS%,ADR,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,Rating,Match Links,PlayerID
"Tue, 7th Jul",de_mirage,14:16,9,16,22,6,-6,50,64,0,0,0,0,0,0,0,2,0.82,12570283,76561198236436482
"Mon, 6th Jul",de_inferno,16:14,9,20,20,2,0,55,82,0,0,0,0,1,0,0,0,0.95,12491799,76561198236436482
"Mon, 6th Jul",de_mirage,16:12,9,20,21,2,-1,75,78,0,0,0,0,0,0,1,0,1.01,12570279,76561198236436482
"Sun, 5th Jul",de_inferno,16:9,9,19,19,9,0,47,93,0,0,0,0,0,0,0,0,0.97,12471447,76561198236436482
"Thu, 2nd Jul",de_inferno,13:16,9,12,23,6,-11,33,68,0,0,1,0,0,0,0,0,0.59,12369501,76561198236436482
"Sun, 28th Jun",de_mirage,16:5,9,22,10,6,12,27,106,0,0,0,0,1,0,0,0,1.52,12145345,76561198236436482
"Sat, 27th Jun",de_mirage,16:1,9,14,7,2,7,57,76,0,0,0,0,1,0,0,1,1.37,12289404,76561198236436482
"Sat, 27th Jun",de_dust2,2:16,9,5,16,1,-11,40,40,0,0,0,0,0,0,0,0,0.32,12080465,76561198236436482
"Sat, 27th Jun",de_nuke,16:10,9,8,23,8,-15,63,51,0,0,0,0,0,0,0,0,0.35,12763343,76561198236436482
"Wed, 24th Jun",de_overpass,3:16,8,11,16,1,-5,27,62,0,0,0,0,0,0,0,1,0.7,12064866,76561198236436482
"Mon, 15th Jun",de_inferno,5:16,8,9,17,3,-8,56,55,0,0,0,0,0,0,0,0,0.55,11636507,76561198236436482
"Fri, 12th Jun",de_inferno,14:16,8,22,23,8,-1,59,90,0,0,0,0,0,0,0,2,1.0,11697976,76561198236436482
"Fri, 12th Jun",de_dust2,3:16,8,6,17,7,-11,83,72,0,0,0,0,0,0,0,0,0.41,11647314,76561198236436482
"Mon, 8th Jun",de_cache,16:14,8,7,20,4,-13,43,36,0,0,0,0,0,0,0,0,0.51,11412172,76561198236436482
"Mon, 8th Jun",de_mirage,16:13,7,15,20,4,-5,20,56,0,1,0,1,0,0,1,0,0.87,11523332,76561198236436482
"Fri, 29th May",de_inferno,7:16,7,9,20,4,-11,11,58,0,0,0,0,0,0,0,0,0.46,10768277,76561198236436482
